stock,Random Forest,XGBoost,Log Regression,Score,bal,repair,npay,pct,yr,odo,mk_toyota,jointincome,netincome
180975,1.0,1.0,0.0,2.0,5124.06,946.8,106,14.9,2010.0,126922.0,0,0,0
200831,1.0,1.0,0.0,2.0,3269.34,353.35,64,24.9,2012.0,173775.0,0,0,1060
201173,0.0,1.0,0.0,1.0,10714.67,686.45,127,19.9,2013.0,138993.0,0,0,2200
200504,0.0,0.0,1.0,1.0,10039.81,928.73,111,19.9,2012.0,145371.0,0,0,0
203902,0.0,0.0,1.0,1.0,23595.45,874.01,121,15.9,2018.0,121269.0,0,3000,3250
200426,1.0,0.0,0.0,1.0,9407.08,35.0,111,24.9,2015.0,64037.0,0,0,0
200464,0.0,1.0,0.0,1.0,6903.41,45.0,107,24.9,2008.0,135071.0,0,0,0
203863,0.0,0.0,1.0,1.0,27497.15,434.69,124,24.9,2017.0,74581.0,0,0,0
200756,0.0,0.0,1.0,1.0,8838.34,1422.79,115,17.9,2016.0,93943.0,0,0,0
200713,0.0,0.0,1.0,1.0,4894.08,1548.87,121,9.9,2016.0,82859.0,0,0,0
200614,0.0,0.0,1.0,1.0,9951.2,1069.4,106,24.9,2012.0,109905.0,0,0,4060
200646,0.0,1.0,0.0,1.0,6372.33,2230.22,90,24.9,2009.0,139470.0,0,0,0
200556,0.0,0.0,1.0,1.0,7649.23,1428.56,115,24.9,2010.0,81517.0,0,0,0
200642,0.0,0.0,1.0,1.0,6092.66,6355.83,101,21.9,2014.0,160058.0,0,3600,500
180237,0.0,0.0,1.0,1.0,5338.51,569.0,99,14.9,2008.0,112528.0,0,0,0
200566,0.0,1.0,0.0,1.0,10365.95,497.98,121,21.9,2018.0,77611.0,0,0,0
200006,0.0,1.0,0.0,1.0,7043.96,3367.66,90,24.9,2013.0,159758.0,0,0,0
200951,0.0,1.0,0.0,1.0,7950.81,937.57,101,24.9,2013.0,95119.0,0,0,3
191179,0.0,1.0,0.0,1.0,8018.13,2911.6,107,21.9,2013.0,116387.0,0,0,0
190466,0.0,1.0,0.0,1.0,9355.1,1171.06,115,24.9,2012.0,82533.0,0,0,1405
203448,0.0,1.0,0.0,1.0,16772.92,1266.7,126,24.9,2019.0,111205.0,0,0,1812
200473,1.0,0.0,0.0,1.0,5412.86,792.94,99,24.9,2008.0,82130.0,0,0,0
202310,0.0,1.0,0.0,1.0,1796.89,1602.5,54,19.9,2007.0,126935.0,0,0,4973
201050,0.0,1.0,0.0,1.0,7716.13,1386.11,118,24.9,2010.0,130684.0,0,0,0
201665,0.0,1.0,0.0,1.0,8359.21,0.0,104,24.9,2015.0,122471.0,0,3200,0
201080,1.0,0.0,0.0,1.0,9081.53,0.0,123,14.9,2013.0,81624.0,0,1756,242
203809,0.0,0.0,1.0,1.0,28648.33,583.16,117,24.9,2016.0,47876.0,0,3636,3346
190731,0.0,0.0,1.0,1.0,6894.07,1519.21,53,16.9,2017.0,48922.0,0,1912,0
191036,0.0,0.0,1.0,1.0,7678.27,1243.73,94,24.9,2012.0,115031.0,0,0,0
190793,0.0,0.0,1.0,1.0,8796.93,1464.85,120,19.9,2017.0,24859.0,0,0,2200
190782,0.0,0.0,1.0,1.0,8245.86,335.0,105,24.0,2013.0,76814.0,0,0,0
202101,0.0,0.0,1.0,1.0,13175.53,1770.44,138,24.9,2014.0,79840.0,0,0,5197
201605,0.0,0.0,1.0,1.0,7806.43,1143.39,113,24.9,2016.0,83070.0,0,2000,0
201614,0.0,0.0,1.0,1.0,9881.96,0.0,113,24.9,2010.0,129591.0,0,0,0
201477,0.0,0.0,1.0,1.0,5311.12,0.0,123,14.9,2009.0,132244.0,0,0,8501
200795,0.0,0.0,1.0,1.0,8696.78,1695.39,130,14.9,2016.0,85992.0,1,0,0
200869,0.0,0.0,1.0,1.0,10108.38,809.93,144,19.9,2017.0,82484.0,0,0,190
181132,0.0,0.0,1.0,1.0,6012.57,3480.92,93,21.9,2010.0,87922.0,0,0,0
181137,0.0,0.0,1.0,1.0,7527.2,1116.05,102,24.9,2012.0,133327.0,0,0,0
202438,0.0,0.0,1.0,1.0,13330.46,767.24,118,21.9,2017.0,86756.0,0,1460,2206
200796,0.0,0.0,1.0,1.0,9223.57,2776.43,98,24.9,2015.0,91326.0,0,0,0
200572,0.0,0.0,1.0,1.0,8817.97,1501.72,113,19.9,2012.0,108134.0,0,0,0
191144,0.0,0.0,1.0,1.0,4793.1,90.0,87,24.9,2007.0,210453.0,0,0,0
201289,0.0,0.0,1.0,1.0,8322.11,2548.69,107,21.9,2011.0,120261.0,0,0,0
201230,0.0,0.0,1.0,1.0,7378.81,547.67,113,14.9,2016.0,74961.0,0,0,950
201227,0.0,0.0,1.0,1.0,5813.72,881.08,96,14.9,2014.0,99585.0,0,0,0
201045,0.0,0.0,1.0,1.0,6998.72,1208.53,123,21.9,2016.0,118819.0,0,900,0
201113,0.0,0.0,1.0,1.0,8997.45,0.0,112,21.9,2012.0,98592.0,0,1400,0
200885,0.0,0.0,1.0,1.0,9529.97,1621.33,117,24.9,2016.0,110571.0,0,0,0
180934,0.0,0.0,1.0,1.0,6945.05,1495.5,101,29.0,2006.0,144105.0,0,2200,1140
171360,0.0,0.0,1.0,1.0,8429.28,391.29,97,29.0,2012.0,89617.0,0,0,0
180325,0.0,0.0,1.0,1.0,8123.01,1647.43,100,29.0,2007.0,129423.0,0,0,0
180671a,0.0,0.0,1.0,1.0,5928.52,0.0,89,29.0,2003.0,150000.0,0,0,0
180365,0.0,0.0,1.0,1.0,8111.87,1474.41,103,24.9,2013.0,87608.0,0,0,0
180444,0.0,0.0,1.0,1.0,8048.44,1190.03,96,29.0,2007.0,62884.0,0,3000,0
191224,1.0,0.0,0.0,1.0,9892.8,1306.38,111,24.9,2009.0,105982.0,0,0,0
200825,0.0,0.0,1.0,1.0,5825.92,2739.14,63,14.9,2015.0,72640.0,0,1100,0
202383,0.0,0.0,1.0,1.0,9706.12,2180.73,57,24.9,2012.0,138003.0,0,684,0
202158,1.0,0.0,0.0,1.0,10526.26,1449.28,120,18.9,2014.0,109970.0,0,0,1700
200017,1.0,0.0,0.0,1.0,6443.28,415.47,93,24.9,2008.0,138196.0,0,0,0
191043,1.0,0.0,0.0,1.0,7514.53,1919.48,109,24.9,2013.0,89229.0,0,0,0
190158,1.0,0.0,0.0,1.0,5498.59,938.47,85,24.9,2009.0,101747.0,0,0,0
190148,1.0,0.0,0.0,1.0,8330.24,2163.43,97,24.9,2011.0,115323.0,0,0,0
180685,1.0,0.0,0.0,1.0,7907.86,1284.65,107,19.9,2013.0,94048.0,0,0,0
190103,1.0,0.0,0.0,1.0,184.63,0.0,15,24.9,2008.0,208466.0,0,0,0
190052,1.0,0.0,0.0,1.0,8044.25,856.32,129,14.9,2014.0,102765.0,0,0,0
170950,1.0,0.0,0.0,1.0,5239.88,240.3,104,21.9,2011.0,71909.0,0,0,0
203896,1.0,0.0,0.0,1.0,10102.31,0.0,95,21.9,2006.0,158573.0,1,0,0
202276,1.0,0.0,0.0,1.0,9502.37,3697.87,115,14.9,2017.0,77501.0,0,0,0
202186,1.0,0.0,0.0,1.0,8351.47,1959.66,112,24.9,2012.0,160933.0,0,0,2950
201007,1.0,0.0,0.0,1.0,7280.13,0.0,98,24.9,2008.0,139500.0,0,0,0
200557,1.0,0.0,0.0,1.0,10904.19,1306.41,125,18.9,2013.0,96848.0,0,1200,3520
200030,1.0,0.0,0.0,1.0,10129.41,1411.7,104,24.9,2016.0,40197.0,0,0,1500
200165,1.0,0.0,0.0,1.0,10223.58,0.0,113,24.9,2013.0,91931.0,0,0,0
